kind_code,kind_desc,model,color_desc,D_COLOR,meter_reading,eval_date,initial_price,سعر الشراء,suggested_price,car_age
102,شفر كابرس بروجهــام,1990,رمادى / رمــادى,1201,352194,20020903,500,500,895,12
3118,مرسيدس SE 300,1992,بنفسجي / رمادي,2407,231414,20020903,3000,3070,3395,10
3321,ميتسوبيشى  باجيرو,1997,ابيض / رمـــادي,2001,126767,20020903,2050,2140,2295,5
3631,تويوتا تيــرسـل,1996,احمر / بيـــــج,104,257481,20020904,400,590,695,6
906,دودج جيب,1991,رصاصى / بنــــي,1305,179346,20020904,400,610,695,11
1601,لاندروفر,1996,اخضر / بيـــــج,504,173788,20020904,2000,2325,2395,6
3108,مرسيدس E 230,1997,كحلي /  ا ز ر ق,802,163640,20020904,3200,3250,3595,5
3125,مرسيدس SEL 420,1995,كحلي /  ا ز ر ق,802,157919,20020904,3000,3175,3395,7
3515,نيسان باثفنيدر,2000,ذهبي / بيـــــج,1404,50675,20020904,3850,3900,4195,2
3705,هوندا Accord,1999,اخضر / بيـــــج,504,17307,20020904,2000,2050,2395,3
3624,لاندكروزر,2000,ابيض / بيـــــج,2004,506679,20020905,8500,8520,8995,2
3134,مرسيدس 220,1995,كحلي /  ا ز ر ق,802,220795,20020905,2000,2040,2395,7
3321,ميتسوبيشى  باجيرو,2000,احمر / بيـــــج,104,500001,20020905,4100,4150,4495,2
521,جيب كلاسيك,2000,فضي,2700,73445,20020907,3500,3650,3895,2
3803,فورد كراون فكتوريــا,2000,اسود / بنـــــي,405,42000,20020907,4000,4080,4595,2
2008,فولكس باسات,2002,رمادى / بيــــج,1204,12127,20020907,4900,4900,5395,0
4107,نيسان مكسيما,2002,ابيض / بيـــــج,2004,54125,20020907,4000,4000,4595,0
607,GMC سفارى,1997,بنفسجي / بيج,2408,183066,20020908,2200,2435,2595,5
3642,تويوتا برادو 6سلندر,1999,فضي,2700,53097,20020908,4300,4320,4795,3
3636,تويوتا كامرى 4 سلندر,1994,ذهبي / بيـــــج,1404,204005,20020908,1100,1140,1395,8
4700,لكزس,1998,ذهبي / بيـــــج,1404,59874,20020908,6100,6100,6695,4
3139,مرسيدس E 280,1993,اسود / بنـــــي,405,98304,20020908,1300,1755,1695,9
524,جيب جراند شيروكي,1998,رمادى / بيــــج,1204,80462,20020909,2800,2950,3295,4
129,شفر لومينا,1996,ابيض / بيـــــج,2004,243863,20020909,750,890,1095,6
803,كرايزلر نيويوركر,1997,ابيض / بيـــــج,2004,57125,20020909,1300,1520,1695,5
3321,ميتسوبيشى  باجيرو,2001,ابيض / بيـــــج,2004,38125,20020909,0,6100,0,1
3321,ميتسوبيشى  باجيرو,1998,ازرق /  ا ز ر ق,702,13835,20020909,3250,3470,3595,4
3640,تويوتا افالون,1997,ابيض / بيـــــج,2004,110746,20020910,2300,2410,2695,5
516,جيب رانجلر,2001,اسود / بنـــــي,405,35353,20020910,3500,2600,3995,1
3119,مرسيدس SEL 300,1989,كحلي /  ا ز ر ق,802,257906,20020910,1100,1220,1395,13
3141,مرسيدس  جيب,1998,اخضر / بيـــــج,504,64333,20020910,6000,6080,6695,4
3321,ميتسوبيشى  باجيرو,2001,ابيض / بيـــــج,2004,38125,20020910,6100,6185,6695,1
601,GMC سوبربان,1988,بيج / بيــــــج,1504,145125,20020911,900,900,1095,14
116,شفر سوبربان 454,1998,عنابي / احمـــر,203,131855,20020911,5500,5600,5995,4
1210,فولفو GL 940,1998,اسود / بنـــــي,405,164231,20020911,1950,2020,2295,4
4700,لكزس,1999,كحلي /  ا ز ر ق,802,59678,20020911,8000,8150,8595,3
1313,BMW 430 Coupe,1992,كحلي /  ا ز ر ق,802,83924,20020912,1200,1450,1695,10
4107,نيسان مكسيما,1998,ذهبي / بيـــــج,1404,218592,20020912,1900,1070,2295,4
1325,BMW 523,1997,اخضر / بيـــــج,504,88691,20020914,3800,3895,4295,5
3618,تويوتا COROLLA,1999,ابيض / بيـــــج,2004,136073,20020914,1800,1820,2295,3
3636,تويوتا كامرى 4 سلندر,1997,بيج / بيــــــج,1504,100528,20020914,1600,1720,1995,5
3118,مرسيدس SE 300,1992,ازرق /  ا ز ر ق,702,158014,20020914,2800,2900,3195,10
3321,ميتسوبيشى  باجيرو,2000,كحلي /  ا ز ر ق,802,81574,20020914,2000,2250,2595,2
3524,نيسان وانيت قمارتين,1999,ابيض /  ا ز ر ق,2002,89851,20020914,2500,2550,2995,3
1312,BMW 325 I 2DOOR,1994,اخضر / بيـــــج,504,298000,20020915,1200,1270,1495,8
601,GMC سوبربان,1998,كحلي /  ا ز ر ق,802,38373,20020915,6200,6270,6695,4
3514,باترول -جلد,1998,اخضر / بيـــــج,504,179355,20020915,4500,4635,4995,4
3606,تويوتا كريسيدا,1996,ابيض /  ا ز ر ق,2002,257014,20020915,1800,1920,2195,6
3101,مرسيدس 190,1991,كحلي /  ا ز ر ق,802,169237,20020915,1000,1150,1395,11
3104,مرسيدس C 200,1997,ابيض / بيـــــج,2004,659821,20020915,2300,2455,2695,5
3321,ميتسوبيشى  باجيرو,1998,ابيض /  ا ز ر ق,2002,105157,20020915,3400,3510,3895,4
3301,ميتسوبيشي جا لانت,1992,ابيض /  ا ز ر ق,2002,149394,20020915,350,470,595,10
1303,BMW 735 I,1991,ابيض /  ا ز ر ق,2002,181248,20020916,700,795,995,11
613,GMC  يوكن,1998,اخضر / بيـــــج,504,101339,20020916,4300,4340,4695,4
116,شفر سوبربان 454,1994,اخضر / بيـــــج,504,123993,20020916,2500,2680,2895,8
3805,فورد جراند ماركيـــز,1997,فضي,2700,170720,20020916,1500,1575,1795,5
1215,فولفو GLT 850,1993,احمر / بيـــــج,104,163817,20020916,600,700,895,9
4700,لكزس,1996,اخضر / بيـــــج,504,93317,20020917,6000,6090,6595,6
3321,ميتسوبيشى  باجيرو,1996,احمر / بيـــــج,104,149505,20020917,1200,1410,1595,6
3612,تويوتا Corona,1992,ابيض / بيـــــج,2004,280244,20020918,600,670,995,10
904,دودج بوكس,1995,اخضر / بيـــــج,504,198352,20020919,700,850,995,7
3805,فورد جراند ماركيـــز,1994,رصاصى / بنــــي,1305,222269,20020919,1000,1255,1295,8
511,رود ماستر,1992,اسود / بنـــــي,405,250125,20020921,700,850,995,10
117,شفر سوبربان 350,1993,اخضر / بيـــــج,504,156777,20020921,2800,2970,3195,9
